XrayTh,spiralTh,sliceTh,p_valIni,nHQ,nLQ,FalloHQ,FalloLQ,Fallopval,Freq,Proportion HQ/LQ,p_val
600,1.3,1.25,0.014597386,196,2772,0.008830117,0.134108362,0.000180685,0,0.070707071,0.000180685
600,1.4,1.25,0.014597386,196,2772,0.008830117,0.134108362,0.000180685,0,0.070707071,0.000180685
600,1.5,1.25,0.026456951,336,2632,0.023237491,0.138789393,0.002370645,0,0.127659574,0.002370645
600,1,1.5,0.108427948,168,2800,0.019758278,0.126441961,0.005169726,0,0.06,0.005169726
600,1.4,1.5,0.255639013,252,2716,0.047183071,0.126147061,0.11517767,0,0.092783505,0.11517767
600,1,2,0.108427948,168,2800,0.019758278,0.126441961,0.005169726,0,0.06,0.005169726
600,1.2,2,0.4908713,196,2772,0.062826043,0.121665083,0.374975818,0,0.070707071,0.374975818
600,1.3,2,0.255639013,252,2716,0.047183071,0.126147061,0.11517767,0,0.092783505,0.11517767
600,1.4,2,0.255639013,252,2716,0.047183071,0.126147061,0.11517767,0,0.092783505,0.11517767
600,1.5,2,0.328746901,616,2352,0.177397039,0.105086404,0.39643024,0,0.261904762,0.328746901
600,1,2.5,0.108427948,168,2800,0.019758278,0.126441961,0.005169726,0,0.06,0.005169726
600,1.2,2.5,0.4908713,196,2772,0.062826043,0.121665083,0.374975818,0,0.070707071,0.374975818
600,1.3,2.5,0.255639013,252,2716,0.047183071,0.126147061,0.11517767,0,0.092783505,0.11517767
600,1.4,2.5,0.255639013,252,2716,0.047183071,0.126147061,0.11517767,0,0.092783505,0.11517767
600,1.5,2.5,0.328746901,616,2352,0.177397039,0.105086404,0.39643024,0,0.261904762,0.328746901
700,1.2,1,0.269759689,84,2884,0.023728478,0.122353103,0.031763607,0,0.029126214,0.031763607
700,1.3,1,0.117507827,140,2828,0.020357788,0.126843079,0.005137088,0,0.04950495,0.005137088
700,1.4,1,0.117507827,140,2828,0.020357788,0.126843079,0.005137088,0,0.04950495,0.005137088
700,1.2,1.25,0.269759689,84,2884,0.023728478,0.122353103,0.031763607,0,0.029126214,0.031763607
700,1.3,1.25,0.117507827,140,2828,0.020357788,0.126843079,0.005137088,0,0.04950495,0.005137088
700,1.4,1.25,0.117507827,140,2828,0.020357788,0.126843079,0.005137088,0,0.04950495,0.005137088
700,1.5,1.25,0.044735573,168,2800,0.012430537,0.129642366,0.000643466,0,0.06,0.000643466
700,1.2,1.5,0.926330228,112,2856,0.129954948,0.116540592,0.929426293,0,0.039215686,0.926330228
700,1.3,1.5,0.589200173,168,2800,0.069550645,0.120466395,0.502004953,0,0.06,0.502004953
700,1.4,1.5,0.589200173,168,2800,0.069550645,0.120466395,0.502004953,0,0.06,0.502004953
700,1,2,0.269759689,84,2884,0.023728478,0.122353103,0.031763607,0,0.029126214,0.031763607
700,1.2,2,0.926330228,112,2856,0.129954948,0.116540592,0.929426293,0,0.039215686,0.926330228
700,1.3,2,0.589200173,168,2800,0.069550645,0.120466395,0.502004953,0,0.06,0.502004953
700,1.4,2,0.589200173,168,2800,0.069550645,0.120466395,0.502004953,0,0.06,0.502004953
700,1.5,2,0.316928454,336,2632,0.213059191,0.108602599,0.417399816,0,0.127659574,0.316928454
700,1,2.5,0.269759689,84,2884,0.023728478,0.122353103,0.031763607,0,0.029126214,0.031763607
700,1.2,2.5,0.926330228,112,2856,0.129954948,0.116540592,0.929426293,0,0.039215686,0.926330228
700,1.3,2.5,0.589200173,168,2800,0.069550645,0.120466395,0.502004953,0,0.06,0.502004953
700,1.4,2.5,0.589200173,168,2800,0.069550645,0.120466395,0.502004953,0,0.06,0.502004953
700,1.5,2.5,0.316928454,336,2632,0.213059191,0.108602599,0.417399816,0,0.127659574,0.316928454
